page_profile,alpha,beta,gamma,weight_label,dfs_value,technical,perceptual,ethical
gov_accessible,0.6,0.3,0.1,compliance_heavy,0.913,0.905,0.85,0.95
gov_accessible,0.4,0.3,0.3,balanced,0.902,0.905,0.85,0.95
gov_accessible,0.2,0.6,0.2,ethics_heavy,0.921,0.905,0.85,0.95
gov_accessible,0.33,0.33,0.34,equal,0.9012,0.905,0.85,0.95
gov_accessible,0.8,0.1,0.1,tech_dominant,0.904,0.905,0.85,0.95
gov_accessible,0.1,0.8,0.1,ethical_dominant,0.9355,0.905,0.85,0.95
gov_accessible,0.1,0.1,0.8,perception_heavy,0.8655,0.905,0.85,0.95
gov_accessible,0.5,0.5,0.0,no_perception,0.9275,0.905,0.85,0.95
gov_accessible,0.4,0.4,0.2,symmetrical,0.912,0.905,0.85,0.95
ecommerce_dark,0.6,0.3,0.1,compliance_heavy,0.475,0.55,0.7,0.25
ecommerce_dark,0.4,0.3,0.3,balanced,0.505,0.55,0.7,0.25
ecommerce_dark,0.2,0.6,0.2,ethics_heavy,0.4,0.55,0.7,0.25
ecommerce_dark,0.33,0.33,0.34,equal,0.502,0.55,0.7,0.25
ecommerce_dark,0.8,0.1,0.1,tech_dominant,0.535,0.55,0.7,0.25
ecommerce_dark,0.1,0.8,0.1,ethical_dominant,0.325,0.55,0.7,0.25
ecommerce_dark,0.1,0.1,0.8,perception_heavy,0.64,0.55,0.7,0.25
ecommerce_dark,0.5,0.5,0.0,no_perception,0.4,0.55,0.7,0.25
ecommerce_dark,0.4,0.4,0.2,symmetrical,0.46,0.55,0.7,0.25
news_average,0.6,0.3,0.1,compliance_heavy,0.6975,0.7125,0.6,0.7
news_average,0.4,0.3,0.3,balanced,0.675,0.7125,0.6,0.7
news_average,0.2,0.6,0.2,ethics_heavy,0.6825,0.7125,0.6,0.7
news_average,0.33,0.33,0.34,equal,0.6701,0.7125,0.6,0.7
news_average,0.8,0.1,0.1,tech_dominant,0.7,0.7125,0.6,0.7
news_average,0.1,0.8,0.1,ethical_dominant,0.6912,0.7125,0.6,0.7
news_average,0.1,0.1,0.8,perception_heavy,0.6212,0.7125,0.6,0.7
news_average,0.5,0.5,0.0,no_perception,0.7063,0.7125,0.6,0.7
news_average,0.4,0.4,0.2,symmetrical,0.685,0.7125,0.6,0.7
startup_minimal,0.6,0.3,0.1,compliance_heavy,0.5575,0.4375,0.4,0.85
startup_minimal,0.4,0.3,0.3,balanced,0.55,0.4375,0.4,0.85
startup_minimal,0.2,0.6,0.2,ethics_heavy,0.6775,0.4375,0.4,0.85
startup_minimal,0.33,0.33,0.34,equal,0.5609,0.4375,0.4,0.85
startup_minimal,0.8,0.1,0.1,tech_dominant,0.475,0.4375,0.4,0.85
startup_minimal,0.1,0.8,0.1,ethical_dominant,0.7638,0.4375,0.4,0.85
startup_minimal,0.1,0.1,0.8,perception_heavy,0.4488,0.4375,0.4,0.85
startup_minimal,0.5,0.5,0.0,no_perception,0.6438,0.4375,0.4,0.85
startup_minimal,0.4,0.4,0.2,symmetrical,0.595,0.4375,0.4,0.85
university_portal,0.6,0.3,0.1,compliance_heavy,0.7825,0.7625,0.55,0.9
university_portal,0.4,0.3,0.3,balanced,0.74,0.7625,0.55,0.9
university_portal,0.2,0.6,0.2,ethics_heavy,0.8025,0.7625,0.55,0.9
university_portal,0.33,0.33,0.34,equal,0.7356,0.7625,0.55,0.9
university_portal,0.8,0.1,0.1,tech_dominant,0.755,0.7625,0.55,0.9
university_portal,0.1,0.8,0.1,ethical_dominant,0.8513,0.7625,0.55,0.9
university_portal,0.1,0.1,0.8,perception_heavy,0.6063,0.7625,0.55,0.9
university_portal,0.5,0.5,0.0,no_perception,0.8313,0.7625,0.55,0.9
university_portal,0.4,0.4,0.2,symmetrical,0.775,0.7625,0.55,0.9
