page,ablation,full_dfs,ablated_dfs,delta,pct_change
bad_page,no_keyboard,0.3338,0.3205,-0.0133,-4.0
bad_page,no_screen_reader,0.3338,0.3471,0.0133,4.0
bad_page,no_contrast,0.3338,0.3338,0.0,0.0
bad_page,no_ethical,0.3338,0.2267,-0.1071,-32.1
bad_page,no_agentic,0.3338,0.0,-0.3338,-100.0
bad_page,only_technical,0.3338,0.2267,-0.1071,-32.1
bad_page,only_perceptual,0.3338,0.0,-0.3338,-100.0
bad_page,only_ethical,0.3338,0.0,-0.3338,-100.0
good_page,no_keyboard,0.7,0.7,0.0,0.0
good_page,no_screen_reader,0.7,0.7,0.0,0.0
good_page,no_contrast,0.7,0.7,0.0,0.0
good_page,no_ethical,0.7,0.4,-0.3,-42.9
good_page,no_agentic,0.7,0.0,-0.7,-100.0
good_page,only_technical,0.7,0.4,-0.3,-42.9
good_page,only_perceptual,0.7,0.0,-0.7,-100.0
good_page,only_ethical,0.7,0.0,-0.7,-100.0
mixed_page,no_keyboard,0.6667,0.6733,0.0067,1.0
mixed_page,no_screen_reader,0.6667,0.66,-0.0067,-1.0
mixed_page,no_contrast,0.6667,0.6667,0.0,0.0
mixed_page,no_ethical,0.6667,0.3667,-0.3,-45.0
mixed_page,no_agentic,0.6667,0.0,-0.6667,-100.0
mixed_page,only_technical,0.6667,0.3667,-0.3,-45.0
mixed_page,only_perceptual,0.6667,0.0,-0.6667,-100.0
mixed_page,only_ethical,0.6667,0.0,-0.6667,-100.0
dark_pattern_heavy,no_keyboard,0.37,0.37,0.0,0.0
dark_pattern_heavy,no_screen_reader,0.37,0.37,0.0,0.0
dark_pattern_heavy,no_contrast,0.37,0.37,0.0,0.0
dark_pattern_heavy,no_ethical,0.37,0.32,-0.05,-13.5
dark_pattern_heavy,no_agentic,0.37,0.0,-0.37,-100.0
dark_pattern_heavy,only_technical,0.37,0.32,-0.05,-13.5
dark_pattern_heavy,only_perceptual,0.37,0.0,-0.37,-100.0
dark_pattern_heavy,only_ethical,0.37,0.0,-0.37,-100.0
